Student,required_hours,total_hours_completed,attendance_rate,hours_completed_ratio,late_count,absent_count,total_tasks_logged,total_task_hours,number_of_distinct_competencies,hours_software_development,hours_machine_learning_engineering,hours_it_related_research,hours_ux_ui_design,hours_information_security_analysis,hours_networking,hours_technical_support,hours_data_analysis,hours_customer_service,hours_data_entry_management,hours_office_work,total_chatbot_queries,chatbot_queries_last_30_days,weekly_progress_grade,narrative_report_grade,coordinator_eval_grade,supervisor_eval_grade,has_weekly_progress_grade,has_narrative_report_grade,has_coordinator_eval_grade,has_supervisor_eval_grade,final_ojt_grade,risk_level
Student_1,486,275.3,98.5,0.566,1,1,76,377.6,6,0.0,64.2,0.0,67.2,121.3,0.0,7.4,0.0,58.4,59.1,0.0,8,3,56.5,76.8,83.1,90.3,1,1,1,1,79.4,MEDIUM
Student_2,300,7.1,10.0,0.024,0,36,2,5.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_3,400,21.1,23.6,0.053,0,42,13,46.0,1,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_4,486,104.8,42.6,0.216,3,35,33,103.3,4,0.0,9.6,0.0,0.0,0.0,0.0,30.1,20.7,42.8,0.0,0.0,2,0,50.0,58.6,71.0,0.0,1,1,1,0,35.92,HIGH
Student_5,300,81.9,61.8,0.273,0,13,14,63.2,6,1.5,0.0,0.0,18.0,9.9,0.0,6.5,18.8,8.5,0.0,0.0,13,9,50.0,74.1,78.4,57.8,1,1,1,1,63.62,HIGH
Student_6,486,179.1,65.5,0.369,1,19,45,160.5,6,84.0,10.7,23.4,28.9,0.0,0.0,5.0,0.0,0.0,8.5,0.0,15,8,59.4,64.8,74.4,75.0,1,1,1,1,69.72,HIGH
Student_7,400,84.4,43.8,0.211,1,27,7,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,50.0,50.0,50.0,50.3,1,1,1,1,50.12,HIGH
Student_8,600,94.8,38.6,0.158,3,43,13,47.9,4,0.0,19.3,1.6,20.6,0.0,6.4,0.0,0.0,0.0,0.0,0.0,3,1,50.0,75.8,72.9,51.2,1,1,1,1,60.22,HIGH
Student_9,240,4.3,22.2,0.018,0,21,2,3.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,3,1,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_10,240,202.7,91.2,0.845,1,3,56,137.3,7,35.4,27.0,14.4,0.0,0.0,9.3,0.0,33.9,0.0,7.0,10.4,28,16,88.4,96.2,100.0,97.3,1,1,1,1,95.84,LOW
Student_11,240,1.1,5.9,0.005,0,32,12,27.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,50.0,50.0,50.0,0.0,1,1,1,0,30.0,HIGH
Student_12,600,307.5,72.6,0.512,3,20,52,165.5,8,6.6,18.0,0.0,11.7,24.7,44.9,19.8,0.0,30.0,0.0,9.8,18,8,72.3,96.8,78.4,85.0,1,1,1,1,83.5,MEDIUM
Student_13,486,78.4,30.9,0.161,1,47,12,57.4,5,0.0,0.0,9.2,0.0,25.5,0.0,10.9,4.4,0.0,0.0,7.3,4,2,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
Student_14,200,13.8,28.0,0.069,0,18,8,25.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,13.5,2,0,50.0,50.0,50.0,50.0,1,1,1,1,50.0,HIGH
